position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,mvp,opoy,dpoy,allpro
DE,9,20,4,0,0,0,0,1,0,0,0,0
DT,5,4,4,0,0,0,0,2,0,0,0,0
MLB,11,4,4,0,0,0,0,0,0,0,0,0
NT,9,9,0,0,1,0,0,7,0,0,0,0
CB,23,2,0,0,4,0,2,3,0,0,0,0
OLB,84,37,11,0,0,0,2,10,0,0,0,1
CB,53,13,0,0,8,0,0,1,0,0,0,0
CB,6,3,0,0,0,0,0,15,0,0,0,0
CB,14,5,0,0,0,0,0,15,0,0,0,0
DT,45,8,17,0,3,0,4,0,0,0,0,0
CB,26,11,0,0,2,0,0,4,0,0,0,0
DE,36,25,16,0,0,0,0,4,0,0,0,0
NT,23,9,4,0,0,0,0,5,0,0,0,0
OLB,33,20,7,0,0,0,2,0,0,0,0,0
SS,1,1,0,0,0,0,0,11,0,0,0,0
FS,13,3,0,0,0,0,0,11,0,0,0,0
FS,67,10,3,0,8,3,6,10,0,0,0,0
OLB,4,4,0,0,0,0,0,2,0,0,0,0
DE,27,12,12,0,1,1,0,4,0,0,0,0
FS,5,5,0,0,0,0,0,6,0,0,0,0
SS,37,16,0,0,4,0,1,2,0,0,0,0
OLB,33,22,13,0,0,0,3,14,0,0,0,0
FS,39,16,0,0,1,0,2,2,0,0,0,0
OLB,56,49,3,0,7,0,1,1,0,0,0,0
SS,1,0,0,0,0,0,0,4,0,0,0,0
DT,38,18,9,0,0,0,3,3,0,0,0,0
DT,36,14,7,0,0,0,2,0,0,0,0,0
NT,9,8,0,0,0,0,0,7,0,0,0,0
OLB,61,47,12,0,3,0,6,3,0,0,0,0
CB,24,6,0,0,1,0,0,6,0,0,0,0
CB,5,0,0,0,0,0,0,6,0,0,0,0
DE,58,21,40,0,0,0,6,12,0,0,0,0
OLB,29,12,15,0,1,0,0,6,0,0,0,0
CB,4,0,0,0,0,0,0,7,0,0,0,0
DE,11,23,7,0,0,0,0,0,0,0,0,0
SS,35,8,0,0,6,0,4,0,0,0,0,0
DT,25,11,8,0,0,0,0,9,0,0,0,0
DE,2,0,0,0,0,0,0,8,0,0,0,0
CB,55,11,0,0,4,0,0,0,0,0,0,0
DT,6,7,3,0,0,0,0,11,0,0,0,0
OLB,3,1,0,0,0,0,0,2,0,0,0,0
CB,6,0,0,0,0,0,0,2,0,0,0,0
OLB,84,52,12,0,1,0,0,0,0,0,0,0
FS,36,24,0,0,4,0,0,10,0,0,0,0
SS,57,26,0,0,2,2,4,0,0,0,0,0
OLB,27,17,2,0,0,0,0,2,0,0,0,0
DT,43,30,22,0,0,0,0,0,0,0,0,1
OLB,28,25,26,0,0,0,6,10,0,0,0,0
NT,16,15,11,0,0,0,0,3,0,0,0,0
CB,1,1,0,0,0,0,0,4,0,0,0,0
OLB,104,60,11,0,2,0,0,0,0,0,0,1
OLB,0,1,0,0,0,0,0,1,0,0,0,0
CB,32,6,0,0,6,2,0,1,0,0,0,1
OLB,75,12,35,0,0,0,4,16,0,0,0,0
OLB,31,13,6,0,0,0,3,0,0,0,0,0
CB,53,6,0,0,4,2,0,0,0,0,0,0
DE,25,18,12,0,0,0,0,2,0,0,0,0
ILB,98,34,5,0,2,0,1,6,0,0,0,0
ILB,72,62,14,0,5,2,4,2,0,0,0,0
OLB,38,9,4,0,2,0,0,3,0,0,0,0
OLB,6,0,4,0,0,0,0,15,0,0,0,0
FS,59,24,3,0,4,2,9,0,0,0,0,0
SS,90,32,0,0,4,0,0,12,0,0,0,0
CB,24,11,0,0,1,0,2,0,0,0,0,0
SS,77,31,8,0,2,0,0,0,0,0,0,0
CB,17,2,0,0,2,0,0,14,0,0,0,0
CB,72,6,0,0,20,3,0,15,0,0,0,1
DE,11,8,3,0,0,0,0,5,0,0,0,0
OLB,41,34,0,0,0,0,0,7,0,0,0,0
DE,41,20,15,0,0,0,4,7,0,0,0,0
DE,36,32,18,0,0,0,0,7,0,0,0,0
SS,13,5,0,0,2,0,0,7,0,0,0,0
MLB,77,47,3,0,0,0,2,15,0,0,0,0
DT,24,40,10,0,0,0,0,0,0,0,0,0
NT,27,28,13,0,3,0,4,0,0,0,0,0
DE,57,30,42,5,2,3,22,0,0,0,0,0
DE,9,4,0,0,1,0,0,5,0,0,0,0
DT,40,29,22,0,0,0,0,11,0,0,0,0
DE,53,31,29,0,0,0,16,0,0,0,0,0
OLB,0,1,0,0,0,0,0,2,0,0,0,0
SS,82,20,0,0,2,0,0,3,0,0,0,0
LB,29,11,0,0,3,0,0,16,0,0,0,0
SS,9,4,0,0,2,0,0,2,0,0,0,0
DE,13,3,4,0,0,0,0,11,0,0,0,0
OLB,7,7,0,0,0,0,0,3,0,0,0,0
SS,29,29,0,0,2,0,0,0,0,0,0,0
DE,50,9,11,0,1,0,4,8,0,0,0,0
NT,10,10,0,0,0,0,0,0,0,0,0,0
S,82,25,8,0,0,0,0,0,0,0,0,0
SS,5,0,4,0,0,0,0,2,0,0,0,0
DT,24,9,8,0,0,0,0,0,0,0,0,0
CB,88,22,4,0,7,2,2,4,0,0,0,0
DE,6,7,3,0,0,0,0,2,0,0,0,0
LB,51,23,27,0,2,2,4,0,0,0,0,0
OLB,4,5,3,0,0,0,0,4,0,0,0,0
OLB,7,5,0,0,0,0,0,9,0,0,0,0
CB,15,2,0,0,2,0,0,0,0,0,0,0
DT,1,2,0,0,0,0,0,4,0,0,0,0
DE,2,1,0,0,0,0,0,6,0,0,0,0
OLB,4,5,4,0,0,0,0,2,0,0,0,0
MLB,57,17,7,0,0,0,2,9,0,0,0,0
SS,57,17,0,0,2,0,0,1,0,0,0,0
FS,82,25,2,0,4,2,10,11,0,0,0,0
DE,2,2,0,0,0,0,0,6,0,0,0,0
DT,14,4,4,0,0,0,2,1,0,0,0,0
ILB,90,42,3,0,4,0,4,0,0,0,0,0
DE,1,0,0,0,0,0,0,1,0,0,0,0
CB,9,3,0,0,2,0,2,5,0,0,0,0
OLB,93,43,23,0,6,2,6,11,0,0,0,0
CB,25,15,0,0,4,2,0,0,0,0,0,0
FS,60,34,4,0,8,0,4,7,0,0,0,0
CB,37,10,0,0,0,0,0,1,0,0,0,0
S,61,35,4,0,6,0,5,0,0,0,0,0
FS,6,4,0,0,2,0,0,2,0,0,0,0
MLB,15,14,0,0,2,0,1,8,0,0,0,0
DE,87,45,41,0,0,2,7,1,0,0,0,0
DT,19,15,4,0,0,0,1,0,0,0,0,0
MLB,119,36,8,0,7,0,4,13,0,0,0,0
S,81,27,2,0,6,2,5,4,0,0,0,0
CB,51,12,0,0,4,0,4,1,0,0,0,0
LB,36,19,14,0,2,0,3,11,0,0,0,0
OLB,85,51,14,0,0,0,2,5,0,0,0,0
OLB,85,29,7,0,0,0,2,2,0,0,0,0
CB,32,6,0,0,2,2,1,3,0,0,0,0
DE,7,0,0,0,0,0,0,14,0,0,0,0
CB,52,29,3,0,4,0,8,0,0,0,0,0
SS,38,21,7,0,6,0,2,15,0,0,0,0
OLB,23,12,0,0,0,0,0,14,0,0,0,0
DE,60,19,47,0,0,0,21,3,0,0,0,0
DT,38,29,11,0,0,0,0,0,0,0,0,0
ILB,5,3,0,0,0,0,0,16,0,0,0,0
DE,36,15,14,3,1,0,5,0,0,0,0,0
DE,50,14,31,0,0,0,11,0,0,0,0,0
DT,28,17,9,0,0,0,0,13,0,0,0,0
OLB,77,29,8,0,2,0,2,0,0,0,0,0
FS,49,20,0,0,6,0,2,0,0,0,0,0
OLB,11,8,10,0,0,0,3,2,0,0,0,0
CB,15,9,0,0,2,0,0,2,0,0,0,0
CB,6,1,0,0,0,0,0,4,0,0,0,0
CB,48,11,0,0,4,0,1,0,0,0,0,0
DT,18,9,1,0,0,0,1,0,0,0,0,0
ILB,4,2,0,0,0,0,0,17,0,0,0,0
ILB,28,10,0,0,0,0,4,7,0,0,0,0
SS,12,7,0,0,0,0,0,2,0,0,0,0
DT,16,7,0,0,0,0,0,1,0,0,0,0
S,35,24,0,0,4,0,0,0,0,0,0,0
CB,53,14,4,0,4,0,6,8,0,0,0,0
CB,1,0,0,0,0,0,0,12,0,0,0,0
CB,6,3,0,0,0,0,0,12,0,0,0,0
ILB,10,9,0,0,0,0,0,1,0,0,0,0
SS,14,5,0,0,0,0,0,1,0,0,0,0
NT,2,2,0,0,0,0,0,12,0,0,0,0
MLB,7,4,0,0,0,0,0,17,0,0,0,0
OLB,3,0,0,0,0,0,0,12,0,0,0,0
CB,7,1,0,0,0,0,0,0,0,0,0,0
ILB,13,2,0,0,0,0,2,2,0,0,0,0
OLB,1,2,0,0,0,0,0,2,0,0,0,0
CB,3,1,0,0,0,0,0,6,0,0,0,0
DE,29,27,3,0,0,3,6,11,0,0,0,0
OLB,8,6,0,0,0,0,0,5,0,0,0,0
ILB,25,12,0,0,0,0,0,1,0,0,0,0
SS,19,8,4,0,0,0,0,8,0,0,0,0
ILB,1,0,0,0,0,0,0,7,0,0,0,0
LB,91,53,25,0,6,0,8,0,0,0,0,0
OLB,116,29,18,0,4,0,6,7,0,0,0,0
CB,7,5,0,0,2,2,0,7,0,0,0,0
ILB,101,55,7,0,2,2,4,0,0,0,0,0
ILB,61,32,11,0,0,0,2,0,0,0,0,0
MLB,25,17,0,0,0,0,0,5,0,0,0,0
DE,39,21,10,0,1,0,4,15,0,0,0,0
DE,0,1,0,0,0,0,0,11,0,0,0,0
CB,56,11,0,0,2,0,3,0,0,0,0,0
DT,0,3,0,0,0,0,0,1,0,0,0,0
DE,4,1,0,0,0,0,0,1,0,0,0,0
DE,33,14,24,0,0,0,5,0,0,0,0,0
DE,62,12,49,0,0,0,2,4,0,0,0,0
NT,3,5,0,0,0,0,0,7,0,0,0,0
DT,18,23,0,0,0,0,0,15,0,0,0,0
OLB,24,17,0,0,0,0,0,8,0,0,0,0
MLB,96,65,12,0,2,0,8,0,0,0,0,0
CB,20,2,0,0,2,0,0,11,0,0,0,1
CB,45,12,0,0,6,0,0,5,0,0,0,0
CB,13,6,0,0,2,2,0,0,0,0,0,0
CB,24,1,0,0,3,0,0,0,0,0,0,0
CB,10,4,0,0,0,0,0,10,0,0,0,0
CB,62,17,0,0,4,0,4,1,0,0,0,0
DE,16,15,12,0,0,0,6,11,0,0,0,0
SS,16,8,0,0,0,0,0,10,0,0,0,0
DE,1,1,0,0,0,0,0,8,0,0,0,0
CB,49,9,4,0,6,0,0,2,0,0,0,0
MLB,85,47,4,0,0,0,4,2,0,0,0,0
CB,18,5,0,0,2,2,0,15,0,0,0,0
SS,1,3,0,0,0,0,0,4,0,0,0,0
DT,75,17,26,0,0,0,0,3,0,0,0,0
OLB,42,10,14,0,0,0,3,14,0,0,0,0
DE,11,9,14,0,1,1,0,8,0,0,0,0
CB,2,2,0,0,0,0,0,2,0,0,0,0
CB,25,5,0,0,2,0,2,2,0,0,0,0
DE,26,13,10,0,0,0,0,3,0,0,0,0
S,47,27,0,0,4,2,0,1,0,0,0,0
ILB,1,0,0,0,0,0,0,8,0,0,0,0
MLB,25,31,0,0,0,0,0,2,0,0,0,0
DT,10,11,0,0,2,0,0,0,0,0,0,0
SS,33,11,4,0,4,0,4,16,0,0,0,0
DT,1,5,0,0,0,0,0,1,0,0,0,0
DE,55,10,33,0,0,0,8,4,0,0,0,0
OLB,84,42,12,0,2,0,5,13,0,0,0,0
FS,77,15,4,0,12,0,0,0,0,0,0,0
SS,76,23,0,0,2,0,0,7,0,0,0,0
CB,1,2,0,0,0,0,0,4,0,0,0,0
DE,57,10,29,0,1,0,0,18,0,0,0,0
FS,28,6,0,0,2,0,0,7,0,0,0,0
SS,24,6,0,0,1,0,0,14,0,0,0,0
FS,5,1,0,0,0,0,0,5,0,0,0,0
DE,14,11,0,0,0,0,0,0,0,0,0,0
CB,3,2,0,0,0,0,0,9,0,0,0,0
ILB,0,1,0,0,0,0,0,4,0,0,0,0
CB,52,5,0,0,6,2,0,2,0,0,0,0
CB,3,0,0,0,0,0,0,17,0,0,0,0
CB,17,6,0,0,0,0,0,2,0,0,0,0
NT,23,15,8,0,0,0,0,0,0,0,0,0
OLB,48,17,16,0,2,0,0,0,0,0,0,0
LB,41,25,13,0,5,0,0,0,0,0,0,0
DE,13,7,11,0,0,0,4,0,0,0,0,0
OLB,13,2,0,0,0,0,0,2,0,0,0,0
SS,31,16,0,0,4,0,0,4,0,0,0,0
DT,32,20,8,0,0,0,4,1,0,0,0,0
SS,17,9,0,0,0,0,0,14,0,0,0,0
ILB,7,14,3,0,0,0,0,2,0,0,0,0
OLB,3,1,0,0,0,0,0,1,0,0,0,0
FS,33,17,0,0,4,0,0,7,0,0,0,0
ILB,0,1,0,0,0,0,0,11,0,0,0,0
CB,71,14,4,0,8,2,0,0,0,0,0,0
OLB,36,22,18,0,8,2,8,0,0,0,0,0
MLB,48,35,0,0,0,0,0,8,0,0,0,0
MLB,3,0,0,3,0,0,0,2,0,0,0,0
DT,19,11,8,0,0,0,0,0,0,0,0,0
DT,6,9,0,0,0,0,0,0,0,0,0,0
CB,21,5,0,0,4,2,0,0,0,0,0,0
CB,2,1,0,0,0,0,0,6,0,0,0,0
DE,39,16,15,0,0,0,2,6,0,0,0,0
DT,1,1,0,0,0,0,0,1,0,0,0,0
DT,2,2,0,0,0,0,0,1,0,0,0,0
ILB,1,1,0,0,0,0,0,2,0,0,0,0
DT,8,7,8,0,1,0,3,4,0,0,0,0
FS,21,8,2,0,2,0,2,4,0,0,0,0
OLB,110,31,3,0,2,0,1,10,0,0,0,0
DE,70,12,35,0,0,0,11,11,0,0,0,0
OLB,10,2,0,0,0,0,0,2,0,0,0,1
OLB,4,0,4,0,0,0,0,3,0,0,0,0
CB,30,10,0,0,2,0,0,2,0,0,0,0
OLB,4,6,0,0,0,0,0,0,0,0,0,0
ILB,7,3,0,0,0,0,0,7,0,0,0,0
SS,3,0,0,0,0,0,0,3,0,0,0,0
DE,9,1,4,0,0,0,0,14,0,0,0,0
DE,3,0,0,0,0,0,0,8,0,0,0,0
DE,8,3,4,0,0,0,0,15,0,0,0,0
DE,5,1,4,0,0,0,0,16,0,0,0,0
OLB,19,8,0,0,0,0,0,7,0,0,0,0
DB,8,1,0,0,2,0,0,5,0,0,0,0
OLB,68,41,19,0,2,0,0,0,0,0,0,0
ILB,32,7,0,0,0,0,1,1,0,0,0,0
CB,49,21,0,0,0,0,3,8,0,0,0,0
DE,52,15,25,0,1,0,5,6,0,0,0,0
DE,19,15,11,0,0,0,1,11,0,0,0,0
CB,29,7,0,0,4,0,0,5,0,0,0,0
CB,28,1,0,0,4,2,0,6,0,0,0,0
MLB,8,3,0,0,0,0,0,8,0,0,0,0
CB,14,4,0,0,0,0,0,9,0,0,0,0
CB,4,1,0,0,0,0,0,1,0,0,0,0
DE,14,0,8,0,0,0,0,2,0,0,0,0
CB,16,7,3,0,2,0,0,3,0,0,0,0
SS,6,9,0,0,2,0,0,1,0,0,0,0
DE,30,11,10,0,0,0,3,0,0,0,0,0
CB,45,14,0,0,4,4,0,3,0,0,0,0
CB,42,13,3,0,3,1,6,7,0,0,0,0
ILB,53,35,8,0,0,0,2,0,0,0,0,0
FS,3,2,0,0,0,0,0,4,0,0,0,0
MLB,31,11,4,0,1,1,2,0,0,0,0,0
SS,48,15,0,0,0,0,8,0,0,0,0,0
DT,17,11,0,0,0,0,1,0,0,0,0,0
DE,37,15,12,0,0,0,0,12,0,0,0,0
OLB,2,0,0,0,0,0,0,1,0,0,0,0
NT,16,13,0,0,0,0,0,1,0,0,0,0
OLB,1,0,0,0,0,0,0,1,0,0,0,0
LB,7,0,3,0,0,0,4,2,0,0,0,0
S,67,30,0,0,3,2,0,6,0,0,0,0
ILB,23,10,0,0,2,0,2,2,0,0,0,0
DE,9,8,7,0,0,0,0,2,0,0,0,0
DE,18,8,10,0,0,0,4,14,0,0,0,0
DT,15,3,0,0,0,0,0,0,0,0,0,0
CB,54,5,4,0,6,0,0,0,0,0,0,0
LB,73,16,51,0,0,0,3,0,0,0,0,0
DT,27,24,9,0,0,0,0,6,0,0,0,0
FS,33,11,0,0,2,0,0,4,0,0,0,0
S,33,14,0,0,4,0,0,13,0,0,0,0
MLB,118,34,3,0,4,0,1,9,0,0,0,0
CB,5,3,0,0,0,0,0,1,0,0,0,0
MLB,63,65,3,0,0,0,1,0,0,0,0,0
NT,3,2,0,0,0,0,0,14,0,0,0,0
FS,23,9,0,0,8,4,2,0,0,0,0,0
FS,59,28,0,0,10,0,8,4,0,0,0,1
LB,55,15,15,5,1,0,4,0,0,0,0,0
S,26,13,4,0,0,0,1,10,0,0,0,0
FS,2,0,0,0,0,0,0,0,0,0,0,0
SS,71,18,4,0,8,0,4,0,0,0,0,0
DE,3,12,0,0,0,0,0,7,0,0,0,0
DE,52,24,36,0,3,0,2,0,0,0,0,0
FS,17,3,0,0,0,0,0,8,0,0,0,0
CB,54,7,0,0,4,0,6,15,0,0,0,0
DT,35,14,7,0,1,0,3,8,0,0,0,0
CB,18,6,3,0,2,0,0,2,0,0,0,0
DE,71,26,49,0,3,0,0,0,0,0,0,0
DE,43,9,15,0,2,0,0,6,0,0,0,0
NT,30,13,7,0,1,0,9,12,0,0,0,0
CB,62,7,0,0,8,0,2,6,0,0,0,0
OLB,61,31,0,0,2,0,0,2,0,0,0,0
NT,17,9,0,0,0,0,0,14,0,0,0,0
FS,23,4,0,0,2,0,2,11,0,0,0,0
CB,15,3,0,0,0,0,2,1,0,0,0,0
CB,37,7,0,0,2,0,0,1,0,0,0,0
DT,4,3,0,0,0,0,0,4,0,0,0,0
CB,29,15,0,0,0,0,0,5,0,0,0,0
FS,13,2,0,0,4,2,0,13,0,0,0,0
MLB,1,0,0,0,0,0,0,4,0,0,0,0
MLB,30,24,10,0,0,0,4,10,0,0,0,0
OLB,26,7,11,0,0,0,4,16,0,0,0,0
S,71,25,4,0,4,0,4,0,0,0,0,0
DT,10,12,4,0,0,0,2,17,0,0,0,0
SS,4,0,0,0,2,0,0,4,0,0,0,0
NT,9,6,0,0,0,0,0,10,0,0,0,0
LB,0,1,0,0,0,0,0,11,0,0,0,0
MLB,63,39,1,0,0,0,7,0,0,0,0,0
FB,1,0,0,0,1,0,0,7,0,0,0,0
FS,69,31,0,0,4,0,1,1,0,0,0,0
S,24,9,0,0,4,0,0,2,0,0,0,0
CB,78,24,0,0,8,0,3,5,0,0,0,0
CB,27,6,3,0,4,0,4,6,0,0,0,0
ILB,2,1,0,0,0,0,0,2,0,0,0,0
S,9,3,0,0,2,0,2,11,0,0,0,0
DE,8,3,3,0,0,0,4,5,0,0,0,0
FS,2,0,0,0,0,0,0,14,0,0,0,0
DT,15,16,7,0,0,0,0,0,0,0,0,0
FS,10,5,0,0,0,0,0,7,0,0,0,0
LB,11,4,4,0,0,0,0,17,0,0,0,0
DT,21,4,5,0,0,0,2,5,0,0,0,0
S,6,0,0,0,0,0,0,4,0,0,0,0
NT,8,5,0,0,1,0,0,12,0,0,0,0
OLB,2,0,0,0,0,0,0,10,0,0,0,0
CB,58,8,0,0,2,2,0,0,0,0,0,0
CB,31,5,0,0,0,0,0,0,0,0,0,0
DB,3,0,0,0,0,0,0,12,0,0,0,0
CB,1,0,0,0,0,0,0,0,0,0,0,0
S,2,1,0,0,0,0,0,3,0,0,0,0
DT,4,5,3,0,0,0,0,1,0,0,0,0
S,3,2,0,0,0,0,0,2,0,0,0,0
CB,13,0,4,0,0,0,0,3,0,0,0,0
SS,44,22,0,0,2,0,0,3,0,0,0,0
DT,1,0,0,0,0,0,0,6,0,0,0,0
DT,6,1,0,0,0,0,0,6,0,0,0,0
CB,30,5,4,0,6,0,0,0,0,0,0,0
LB,2,4,0,0,0,0,0,5,0,0,0,0
DE,0,5,0,0,0,0,0,7,0,0,0,0
MLB,26,7,0,0,4,0,0,9,0,0,0,0
CB,15,3,4,0,0,0,0,8,0,0,0,0
LB,2,0,0,0,0,0,0,1,0,0,0,0
LB,1,0,0,0,0,0,0,1,0,0,0,0
CB,4,1,0,0,0,0,0,11,0,0,0,0
OLB,31,3,18,0,1,0,3,5,0,0,0,0
LB,31,19,4,0,0,0,0,0,0,0,0,0
DT,10,10,0,0,1,1,0,0,0,0,0,0
DE,35,15,30,0,0,0,8,4,0,0,0,0
CB,11,4,0,0,4,0,0,12,0,0,0,0
NT,8,5,0,0,0,0,0,9,0,0,0,0
ILB,4,1,0,0,0,0,2,4,0,0,0,0
S,66,22,0,0,10,0,3,0,0,0,0,0
CB,28,10,4,0,0,0,0,0,0,0,0,0
FS,54,16,0,0,0,0,0,13,0,0,0,0
FS,54,20,4,0,2,0,6,4,0,0,0,0
OLB,66,28,16,0,0,0,2,9,0,0,0,0
CB,53,8,0,0,0,0,4,8,0,0,0,0
